,gid,plaid,posid,teamid,teamname,newpos,newposname
58,58,5178,18,799,Saudi Arabia,2,Mid
59,59,5185,12,799,Saudi Arabia,2,Mid
60,60,5191,1,799,Saudi Arabia,1,Def
61,61,5173,14,799,Saudi Arabia,2,Mid
62,62,5184,2,799,Saudi Arabia,1,Def
63,63,5188,16,799,Saudi Arabia,2,Mid
64,64,5187,20,799,Saudi Arabia,2,Mid
65,65,5715,4,799,Saudi Arabia,1,Def
66,66,5714,0,799,Saudi Arabia,0,GK
67,67,5716,12,799,Saudi Arabia,2,Mid
68,68,5717,20,783,Uruguay,2,Mid
69,69,5713,16,799,Saudi Arabia,2,Mid
70,70,5196,22,799,Saudi Arabia,3,Fw
71,71,3176,6,782,Belgium,1,Def
72,72,20005,2,782,Belgium,1,Def
73,73,5639,3,782,Belgium,1,Def
74,74,5642,14,782,Belgium,2,Mid
75,75,3077,4,782,Belgium,1,Def
76,76,5633,7,782,Belgium,1,Def
77,77,3509,0,782,Belgium,0,GK
78,78,3621,19,782,Belgium,2,Mid
79,79,3089,12,782,Belgium,2,Mid
80,80,3289,22,782,Belgium,3,Fw
81,81,5630,17,782,Belgium,2,Mid
82,82,5634,5,798,Panama,1,Def
83,83,5646,14,798,Panama,2,Mid
84,84,5638,4,798,Panama,1,Def
85,85,5645,12,798,Panama,2,Mid
86,86,5640,9,798,Panama,1,Def
87,87,5635,2,798,Panama,1,Def
88,88,5631,22,798,Panama,3,Fw
89,89,5628,20,798,Panama,2,Mid
90,90,5641,1,798,Panama,1,Def
91,91,5637,16,798,Panama,2,Mid
92,92,5636,0,798,Panama,0,GK
93,93,5629,16,798,Panama,2,Mid
94,94,5644,20,798,Panama,2,Mid
95,95,5643,22,798,Panama,3,Fw
96,96,3037,9,782,Belgium,1,Def
97,97,5632,16,782,Belgium,2,Mid
98,98,5669,0,789,Poland,0,GK
99,99,5670,4,789,Poland,1,Def
100,100,5668,22,789,Poland,3,Fw
101,101,4626,3,789,Poland,1,Def
102,102,5658,2,789,Poland,1,Def
103,103,5660,16,789,Poland,2,Mid
104,104,5673,11,789,Poland,2,Mid
105,105,4276,0,769,Colombia,0,GK
106,106,3445,22,769,Colombia,3,Fw
107,107,6196,2,769,Colombia,1,Def
108,108,5695,20,769,Colombia,2,Mid
109,109,5689,16,769,Colombia,2,Mid
110,110,6192,8,769,Colombia,1,Def
