,nullid,toid,nullpos,topos,period
0,303,3736,0,0,315
0,304,3723,22,22,315
0,305,3762,20,20,318
0,306,3771,22,22,319
0,307,3762,20,20,318
0,308,3760,23,23,318
0,309,3812,0,0,322
0,309,3815,0,0,322
0,310,3797,2,2,321
0,311,3808,1,1,322
0,312,3797,2,2,321
0,313,3808,1,1,322
0,314,3838,0,0,326
0,315,3838,0,0,326
0,316,3845,18,18,326
0,317,3835,22,22,325
0,318,3879,4,4,330
0,318,3893,4,4,330
0,319,3874,5,5,329
0,320,3882,20,20,330
0,321,3882,20,20,330
0,322,3913,18,18,332
0,323,3880,23,23,330
0,324,3929,0,0,333
0,324,3931,0,0,333
0,325,3929,0,0,333
0,325,3931,0,0,333
0,326,3952,18,18,335
0,327,3942,0,0,335
0,327,3948,0,0,335
0,328,3942,0,0,335
0,328,3948,0,0,335
0,329,3978,0,0,338
0,330,3973,22,22,337
0,331,3963,2,2,337
0,332,3978,0,0,338
0,333,3965,1,1,337
0,334,3968,18,18,337
0,335,3976,14,14,338
0,335,3982,14,14,338
0,336,3964,16,16,337
0,337,3990,16,16,339
0,338,3989,12,12,339
0,338,3992,12,12,339
0,339,3983,18,18,339
0,340,3989,12,12,339
0,340,3992,12,12,339
0,341,3984,22,22,339
0,342,4755,18,18,409
0,343,4037,22,22,343
0,344,4009,20,20,341
0,345,4019,16,16,342
0,346,4011,0,0,341
0,347,4045,0,0,345
0,347,4055,0,0,345
0,348,4044,20,20,344
0,349,4058,16,16,346
0,350,4044,20,20,344
0,351,4047,13,13,345
0,352,4057,22,22,345
0,353,4072,20,20,346
0,354,4084,16,16,348
0,355,4085,21,21,348
0,356,4096,24,24,349
0,357,4091,3,3,349
0,358,4110,13,13,350
0,359,4104,20,20,350
0,360,4140,16,16,353
0,361,4106,21,21,350
0,362,4158,20,20,355
0,363,4132,3,3,353
0,364,4134,24,24,353
0,365,4136,22,22,353
0,366,4133,10,10,353
0,367,4149,0,0,353
0,368,4146,13,13,353
0,369,4155,6,6,355
0,370,4186,1,1,358
0,371,4169,16,16,356
0,372,4168,2,2,356
